Course,Domain,College,Semester,stname,USN,SubjectCode,SName,AssignedCredits,ObtainedCredits,Email
B.E.,Information Science,MITM,III Semester,Athiq,4MH19IS012,18MAT31,Transform calculus,3,2,athiqap8453@gmail.com
B.E.,Information Science,MITM,III Semester,Athiq,4MH19IS012,18CS32,DataStructures using C,4,3,athiqap8454@gmail.com
B.E.,Information Science,MITM,III Semester,Athiq,4MH19IS012,18CS33,ADE,3,2,athiqap8455@gmail.com
B.E.,Information Science,MITM,III Semester,Athiq,4MH19IS012,18CS34,CO,3,2,athiqap8456@gmail.com
B.E.,Information Science,MITM,III Semester,Athiq,4MH19IS012,18CS35,SE,3,2,athiqap8457@gmail.com
B.E.,Information Science,MITM,III Semester,Athiq,4MH19IS012,18CS36,DMS,3,2,athiqap8458@gmail.com
B.E.,Information Science,MITM,III Semester,Athiq,4MH19IS012,18CSL37,ADE LAB,3,2,athiqap8459@gmail.com
B.E.,Information Science,MITM,III Semester,Athiq,4MH19IS012,18CSL38,DS LAB,3,2,athiqap8460@gmail.com
B.E.,Information Science,MITM,III Semester,Athiq,4MH19IS012,18KAK38,ELECTIVE,3,2,athiqap8461@gmail.com
B.E.,Information Science,MITM,III Semester,Asmee,4MH19ISO27,18MAT31,DataStructures using C,3,3,preethiii1357@gmail.com
B.E.,Information Science,MITM,III Semester,Suma,4MH19ISO28,18MAT31,DataStructures using C,3,3,preethiii1357@gmail.com
B.E.,Information Science,MITM,III Semester,Carina,4MH19ISO29,18MAT31,DataStructures using C,3,3,preethiii1357@gmail.com
B.E.,Information Science,MITM,III Semester,Chara,4MH19ISO30,18MAT31,DataStructures using C,3,3,preethiii1357@gmail.com
B.E.,Information Science,MITM,III Semester,Drishti,4MH19ISO31,18MAT31,DataStructures using C,3,2,preethiii1357@gmail.com
B.E.,Information Science,MITM,III Semester,Ela,4MH19ISO32,18MAT31,DataStructures using C,3,3,preethiii1357@gmail.com
B.E.,Information Science,MITM,III Semester,Eshika,4MH19ISO33,18MAT31,DataStructures using C,3,3,preethiii1357@gmail.com
B.E.,Information Science,MITM,III Semester,Geetika,4MH19ISO34,18MAT31,DataStructures using C,3,3,preethiii1357@gmail.com
B.E.,Information Science,MITM,III Semester,Gulika,4MH19ISO35,18MAT31,DataStructures using C,3,2,preethiii1357@gmail.com
B.E.,Information Science,MITM,III Semester,Vagdevi,4MH19ISO36,18MAT31,DataStructures using C,3,3,preethiii1357@gmail.com
