Course,Domain,College,Semester,stname,USN,SubjectCode,SName,AssignedCredits,ObtainedCredits,Email
B.E.,Information Science,Maharaja Institute of Technology,III Semester,Athiq,4MH19ISO18,18MAT31,DataStructures using C,3.00,2.00,shwetha19908@gmail.com
B.E.,Information Science,Maharaja Institute of Technology,III Semester,Adah,4MH19ISO19,18MAT31,DataStructures using C,3.00,3.00,madhsunil@gmail.com
B.E.,Information Science,Maharaja Institute of Technology,III Semester,Adhira,4MH19ISO20,18MAT31,DataStructures using C,3.00,3.00,darshanrameshcr@gmail.com
B.E.,Information Science,Maharaja Institute of Technology,III Semester,Alisha,4MH19ISO21,18MAT31,DataStructures using C,3.00,3.00,preethiii1357@gmail.com
B.E.,Information Science,Maharaja Institute of Technology,III Semester,Amoli,4MH19ISO22,18MAT31,DataStructures using C,3.00,3.00,preethiii1357@gmail.com
B.E.,Information Science,Maharaja Institute of Technology,III Semester,Anaisha,4MH19ISO23,18MAT31,DataStructures using C,3.00,3.00,preethiii1357@gmail.com
B.E.,Information Science,Maharaja Institute of Technology,III Semester,Ananya,4MH19ISO24,18MAT31,DataStructures using C,3.00,2.00,preethiii1357@gmail.com
B.E.,Information Science,Maharaja Institute of Technology,III Semester,Anika,4MH19ISO25,18MAT31,DataStructures using C,3.00,3.00,preethiii1357@gmail.com
B.E.,Information Science,Maharaja Institute of Technology,III Semester,Anushka,4MH19ISO26,18MAT31,DataStructures using C,3.00,3.00,preethiii1357@gmail.com
B.E.,Information Science,Maharaja Institute of Technology,III Semester,Asmee,4MH19ISO27,18MAT31,DataStructures using C,3.00,3.00,preethiii1357@gmail.com
B.E.,Information Science,Maharaja Institute of Technology,III Semester,Suma,4MH19ISO28,18MAT31,DataStructures using C,3.00,3.00,preethiii1357@gmail.com
B.E.,Information Science,Maharaja Institute of Technology,III Semester,Carina,4MH19ISO29,18MAT31,DataStructures using C,3.00,3.00,preethiii1357@gmail.com
B.E.,Information Science,Maharaja Institute of Technology,III Semester,Chara,4MH19ISO30,18MAT31,DataStructures using C,3.00,3.00,preethiii1357@gmail.com
B.E.,Information Science,Maharaja Institute of Technology,III Semester,Drishti,4MH19ISO31,18MAT31,DataStructures using C,3.00,2.00,preethiii1357@gmail.com
B.E.,Information Science,Maharaja Institute of Technology,III Semester,Ela,4MH19ISO32,18MAT31,DataStructures using C,3.00,3.00,preethiii1357@gmail.com
B.E.,Information Science,Maharaja Institute of Technology,III Semester,Eshika,4MH19ISO33,18MAT31,DataStructures using C,3.00,3.00,preethiii1357@gmail.com
B.E.,Information Science,Maharaja Institute of Technology,III Semester,Geetika,4MH19ISO34,18MAT31,DataStructures using C,3.00,3.00,preethiii1357@gmail.com
B.E.,Information Science,Maharaja Institute of Technology,III Semester,Gulika,4MH19ISO35,18MAT31,DataStructures using C,3.00,2.00,preethiii1357@gmail.com
B.E.,Information Science,Maharaja Institute of Technology,III Semester,Vagdevi,4MH19ISO36,18MAT31,DataStructures using C,3.00,3.00,preethiii1357@gmail.com
